"";"unacceptable_antigens";"vpra";"count";"frequency"
"56";"A1 A11 B51 B8 Cw7 DR17 DR8 DQ2 DQ8";87,49;1;0,000145011600928074
"57";"A1 A11 B54 B35 B53 DR15 DR16 DR51";66,67;1;0,000145011600928074
"58";"A1 A11 B57 B58 B18 B61 DR11 DR13 DR7 DQ3";90,98;1;0,000145011600928074
"59";"A1 A11 B64 B65";40,19;1;0,000145011600928074
"60";"A1 A11 B7 B44 B27 DR15";76,36;1;0,000145011600928074
"61";"A1 A11 B7 B8 B39";59,79;1;0,000145011600928074
"62";"A1 A11 B7 B8 B40";64,73;1;0,000145011600928074
"63";"A1 A11 B8";41,4;3;0,000435034802784223
"64";"A1 A11 B8 B13 B41 B42";47,54;1;0,000145011600928074
"65";"A1 A11 B8 B45";41,97;1;0,000145011600928074
"66";"A1 A11 B8 B60 DR3 DR5 DQ3";81,77;1;0,000145011600928074
"67";"A1 A11 B8 DR3 DR4";61,27;1;0,000145011600928074
"68";"A1 A11 DQ5";57,47;1;0,000145011600928074
"69";"A1 A11 DR17 DR11 DR12 DR9 DQ5 DQ2 DQ7 DQ8 DQ9";93,16;1;0,000145011600928074
"70";"A1 A11 DR17 DR18 DR11 DR13 DR14 DR8";77,31;1;0,000145011600928074
"71";"A1 A19 A28 B8 B14 DR3 DR4 DQ3 DQ4";85,72;1;0,000145011600928074
"72";"A1 A19 B13 B17";53,98;1;0,000145011600928074
"73";"A1 A19 B21";50,8;1;0,000145011600928074
"74";"A1 A19 B8 B13 DR3 DR5 DR6 DR8 DR52";83,77;1;0,000145011600928074
"75";"A1 A19 B8 B40 Bw6 Cw7 DR3 DR4 DQ2 DQ3";98,88;1;0,000145011600928074
"76";"A1 A2";68,85;1;0,000145011600928074
"77";"A1 A2";69,24;1;0,000145011600928074
"78";"A1 A2 A10 A11 A19 A28 A36 A43 A80 B8 B45 B63 DR17 DR18 DR11 DR12 DR13 DR14 DR7 DR8 DR9 DR52 DQ5";99,24;1;0,000145011600928074
"79";"A1 A2 A10 A11 A19 A28 A36 A43 B8 B63 B75 B17 B35 B41 B42 Cw1 Cw3 Cw5 Cw6 Cw8 Cw14 Cw15 Cw16 Cw17 Cw18 DQ3";99,09;1;0,000145011600928074
"80";"A1 A2 A10 A11 A29 A31 A32 A33 A74 A28 A36 A43 A80 B46 B73 Cw1 Cw3 Cw5 Cw6 Cw7 Cw8 Cw12 Cw14 Cw15 Cw16 Cw17 Cw18";99,43;1;0,000145011600928074
"81";"A1 A2 A10 A11 A29 A32 A68 A36 A43 B5 B12 B13 B15 B70 B17 B21 B35 B53 B78 DQ3";98,38;1;0,000145011600928074
"82";"A1 A2 A10 A19 A28 B8 B14 B16 B18 B22 B37 B41 B59 Cw1 Cw12 Cw15 DR1 DR2 DR5 DR8 DR9 DR10 DQ1 DQ4";99,64;1;0,000145011600928074
