time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2	tvc2_rcs1	tvc2_rcs2
35	-1.905373885	0.7780205075	-2.115926941	-1.905373885	0.5550199615	-1.905373885	0.5550199615
36	-1.889517821	0.7993401354	-2.120711474	-1.889517821	0.5758649842	-1.889517821	0.5758649842
37	-1.874096226	0.8197786062	-2.12484846	-1.874096226	0.5958985794	-1.874096226	0.5958985794
38	-1.859085922	0.8393885874	-2.12838229	-1.859085922	0.6151686131	-1.859085922	0.6151686131
39	-1.844465541	0.8582184054	-2.131353485	-1.844465541	0.6337190296	-1.844465541	0.6337190296
40	-1.830215336	0.8763125005	-2.133799114	-1.830215336	0.6515902613	-1.830215336	0.6515902613
41	-1.816317024	0.8937118241	-2.135753157	-1.816317024	0.6688195856	-1.816317024	0.6688195856
42	-1.802753644	0.9104541867	-2.137246827	-1.802753644	0.6854414396	-1.802753644	0.6854414396
43	-1.789509432	0.9265745651	-2.138308845	-1.789509432	0.7014876957	-1.789509432	0.7014876957
44	-1.776569712	0.9421053715	-2.138965688	-1.776569712	0.7169879054	-1.776569712	0.7169879054
45	-1.763920797	0.9570766939	-2.139241805	-1.763920797	0.7319695149	-1.763920797	0.7319695149
46	-1.751549903	0.9715165072	-2.139159812	-1.751549903	0.7464580566	-1.751549903	0.7464580566
47	-1.73944507	0.9854508629	-2.138740655	-1.73944507	0.7604773192	-1.73944507	0.7604773192
48	-1.727595095	0.9989040568	-2.138003769	-1.727595095	0.7740495	-1.727595095	0.7740495
49	-1.715989467	1.0118987802	-2.13696721	-1.715989467	0.787195341	-1.715989467	0.787195341
50	-1.704618312	1.0244562544	-2.135647773	-1.704618312	0.7999342503	-1.704618312	0.7999342503
51	-1.693472343	1.0365963522	-2.134061105	-1.693472343	0.812284412	-1.693472343	0.812284412
52	-1.682542815	1.048337707	-2.132221798	-1.682542815	0.8242628847	-1.682542815	0.8242628847
53	-1.67182148	1.0596978111	-2.130143479	-1.67182148	0.8358856907	-1.67182148	0.8358856907
54	-1.661300557	1.0706931049	-2.127838885	-1.661300557	0.8471678961	-1.661300557	0.8471678961
55	-1.650972688	1.0813390574	-2.125319939	-1.650972688	0.858123684	-1.650972688	0.858123684
