,match_broad,freq
0,A1,0.15151
1,A10,0.06173
2,A11,0.05652
3,A19,0.12541
4,A2,0.28282
5,A28,0.04382
6,A3,0.15139
7,A36,5e-05
8,A80,0.0002
9,A9,0.12183999999999999
10,A43,0.0
